OBJECTID	FIPS	AvComTm	PerNVHHs	PerColAtt	PerInd	FreRedLun	ValAdd	CoEdSites	UnempRT	MedRnt	MedHmVal	PerLIHTC	mRFEI	PerFamPov	PerPT	IntAcc	JobRatio	Shape_Length	Shape_Area	OI_v1
1566	39041011520	0.010480415	0.807097475	2.065298634	1.231620446	1.574888404	2.030146304	0.029451481	0.992627337	1.396500312	0.95117307	-0.194284333	0.866097029	0.585595542	-0.474264788	1.192146047	0.686949992	12460.22605	9424849.849	0.85947021
1567	39041010200	-1.233664446	0.213538849	-0.000310792	0.90857842	0.888159495	-0.355902894	0.99954049	0.852231046	0.382107253	0.250791812	-0.194284333	-0.444099241	0.536396123	-0.420564302	0.46375429	-0.070839867	23989.29256	22669506.95	0.173464494
1568	39041011413	-1.233664446	0.898053536	1.972027724	1.421440026	1.991644904	0.026783944	1.969629499	1.005099092	2.777085056	2.849727224	-0.194284333	-1.244787506	0.938201922	-0.315366123	1.192146047	-0.10992749	46995.40707	78781314.86	0.871488067
1569	39041010530	0.217837892	-0.637884899	-0.435385465	0.611993585	0.217393252	-0.40508645	-0.940637528	0.580221153	-0.430249014	-0.219505521	1.303833141	-1.244787506	-0.777649589	-0.528110467	-0.021840214	-0.05328573	11253.32699	4381843.686	-0.17269646
1570	39157021300	1.254625277	-0.465349691	-0.689605568	0.566410227	0.587543226	-0.785605824	-0.940637528	0.909433115	-0.320812418	0.007684268	0.6082786	1.823488798	0.707966897	-0.528110467	-0.264637467	-0.07439432	58487.72377	112114464	0.14976732
1571	39157021400	0.425195369	0.670194537	-0.655482064	0.790782154	0.707444294	-0.442537452	-0.940637528	0.305782636	-0.514431011	0.373792652	-0.194284333	-1.244787506	0.674672386	-0.528110467	-1.478623728	-0.116740411	77963.61122	252723289.9	-0.135485655
1572	39157021700	-0.611592015	0.445148613	-0.698705169	0.508302075	-0.018341608	-0.267630647	-0.940637528	0.363352454	-0.362903417	-0.631920104	-0.194284333	-0.698738333	0.31617837	-0.528110467	-0.507434719	-0.083111828	66044.05483	162721083.7	-0.244401791
1573	39157021500	0.010480415	0.69269913	-0.383062759	0.48440155	0.564922485	0.683599359	-0.940637528	0.460258295	-0.308185119	0.108979078	-0.194284333	-0.083349584	0.54719484	-0.528110467	-0.021840214	-0.101530914	70464.74721	205316517.6	0.06197089
1574	39157021800	0.010480415	0.420768637	-0.889228065	0.588954857	0.219092593	-0.586981985	-0.940637528	0.064654826	-0.299766919	-0.297647231	-0.194284333	-1.244787506	0.554652204	-0.528110467	-2.207015485	-0.120878616	88574.55468	325791100.3	-0.340670913
1575	39157021900	-0.818949492	0.679571451	-0.455290842	0.759102467	0.41978202	-0.980726291	-0.940637528	0.107311945	-0.468130912	-0.300541369	-0.194284333	-1.244787506	0.469660474	-0.510747914	-0.750231971	-0.112675056	77898.63263	218317585.9	-0.271348429
1576	39157020200	-0.611592015	0.61674613	0.003670283	0.382387673	0.479593263	-0.612030025	-0.455593023	0.531355755	-0.181912124	-0.128340192	-0.194284333	0.363023946	0.528881108	-0.370376092	-0.264637467	-0.060306403	62920.8134	147063726.8	0.001661655
1577	39157020500	1.0472678	-0.247805297	-0.43254184	0.922562526	0.893563958	0.6007327	-0.455593023	1.081262611	-0.451294513	0.683465357	-0.194284333	-0.285064717	0.544485754	-0.43743765	-1.235826476	-0.096816047	68576.96982	204867883.6	0.121042301
1578	39157020600	0.632552846	0.733019858	-0.190833688	0.922562526	0.893563958	0.6007327	-0.455593023	0.894194245	0.46208015	-0.067563306	-0.194284333	-0.288118024	0.912851003	-0.194126354	0.949348795	-0.092650636	17713.86543	13203868.56	0.344858545
1579	39157020700	0.839910323	0.278239552	-0.256237071	0.922562526	0.893563958	0.6007327	-0.455593023	0.56460378	-0.350276117	0.087273047	-0.194284333	-1.244787506	0.082828456	-0.528110467	0.220957038	-0.071094464	36221.37029	39630699.91	0.086893025
1580	39157020900	1.66934023	-0.357515185	-0.129411382	0.586955486	0.865204458	1.028498804	-0.455593023	0.550272106	-0.358694317	0.127790971	-0.194284333	-1.244787506	0.17899354	-0.528110467	0.46375429	-0.073979618	18222.52391	16156999.69	0.133027128
1581	39157021100	0.839910323	-0.779476294	-0.644107563	0.586955486	0.865204458	1.028498804	-0.455593023	-0.068972975	-0.468130912	-0.420648072	2.240579282	-0.833083767	0.250452871	-0.528110467	-0.750231971	0.05208825	16145.88997	8265349.599	0.057208402
1582	39157020400	-0.196877062	0.628936118	-0.799369505	-1.659578984	0.242326211	0.779078816	-0.455593023	0.608740657	-0.556522009	-0.361318255	-0.194284333	0.575376404	0.075926832	-0.499016827	-0.264637467	-0.111828929	90903.93392	289541552.4	-0.136790085
1583	39157020800	0.425195369	0.117894331	-0.896052766	0.586955486	0.865204458	1.028498804	-0.455593023	0.169816137	-0.442876313	-0.587060974	-0.194284333	-0.871003847	-0.113536972	-0.359883277	0.706551542	-0.031904167	13385.44268	8404958.714	-0.003254972
1584	39157020100	0.010480415	0.447023995	-0.594059758	0.481712741	0.78884553	-0.838531293	-0.455593023	0.595359846	-0.080893728	0.171203032	-0.194284333	-1.244787506	0.514417607	-0.468810885	-0.507434719	-0.104231188	55119.4578	132208299	-0.092473954
1585	39157021000	0.010480415	0.704889117	-0.358038857	0.586955486	0.589744012	1.028498804	-0.940637528	0.347139171	-0.29134872	-0.630473036	-0.194284333	-0.425713747	0.272619503	-0.495138533	-0.021840214	-0.024899008	28947.31636	40693858.03	0.009872033
1586	39157021200	0.425195369	0.62330997	-0.984773875	0.517431386	0.073255676	-1.038797871	-0.940637528	0.050775055	-0.27451232	-0.581272699	-0.194284333	-1.244787506	0.053909221	-0.49918637	-0.507434719	-0.111936392	42905.81796	63116542.29	-0.289609184
1587	39157021600	-0.196877062	0.223853453	-0.762971101	0.423932072	0.02823706	-0.46027198	-0.940637528	0.249353432	-0.653331305	-0.561013737	-0.194284333	-0.854752381	-0.26274272	-0.528110467	-0.507434719	-0.091521619	51262.32159	120991516.8	-0.318035808
1588	39157020300	-0.404234539	0.599867686	-0.150454209	0.749134339	0.493800871	0.481017568	-0.455593023	0.511685379	-0.131402926	0.396945752	-0.194284333	0.423696079	0.938220876	-0.495834184	0.46375429	-0.082871125	30646.49219	50774561.66	0.196465531
1589	39157022002	-0.611592015	-0.262808358	-1.001266902	0.488348584	0.02823706	-0.620471637	-0.940637528	-0.991073035	-0.741722401	-0.769391632	-0.194284333	0.332687884	-0.940687408	-0.360153765	-1.235826476	-0.124830398	55713.50914	123737432.4	-0.496592023
