OBJECTID	GEO_id	foreign_born_pct	edu_less_hs	unemployment	below_poverty	female_headed_hh	pct_Hispanic	pct_Black	county
107	39061009700	2.784572	19.8344574	18.8492915	43.6688617	23.1898239	1.9002822	34.4496707	Hamilton
108	39061009800	5.7657658	19.466248	18.1918412	45.5146365	29.0516207	7.6126126	49.7747748	Hamilton
109	39061009901	3.5034803	8.537926	9.7910692	16.6862791	19.1323693	1.7865429	20.9976798	Hamilton
110	39061009902	1.7148014	15.0848235	9.9892589	18.2912154	15.0225661	2.3164862	21.9013237	Hamilton
111	39061010002	1.4331781	20.0737781	26.8672566	36.5281261	25.9779719	0.197062	75.8509495	Hamilton
112	39061010201	1.6116942	11.7580554	13.5251799	22.9817213	11.8036619	1.6491754	22.7698651	Hamilton
113	39061010202	3.1578947	5.5679287	9.6817874	13.1384016	8.3482944	3.079922	33.4892788	Hamilton
114	39149971700	0.6817682	6.1620269	3.2920051	6.0457516	2.2807018	0	0.7037607	Shelby
115	39149971800	4.7801496	13.0090498	7.2361059	14.477557	17.2001707	3.2293377	6.4951651	Shelby
116	39149971900	2.5219545	13.0901986	4.566855	9.3515358	6.4424173	6.5976132	2.6795767	Shelby
117	39149972100	2.1417098	8.1689428	10.4587156	7.5416969	4.8036952	0	7.3710512	Shelby
118	39149972200	1.8896165	11.1507828	5.988024	10.5303613	8.3250249	1.2160898	1.1973807	Shelby
119	39149972300	0.2280068	9.6025529	5.3481694	4.3209877	3.945292	0.4180125	0.133004	Shelby
120	39007000102	1.228124	8.8817118	9.7415507	15.2125984	3.7966102	0.921093	1.5658582	Ashtabula
121	39007000900	1.1120616	14.0682267	5.7216055	11.3233288	6.5673289	3.7852866	0	Ashtabula
122	39007001200	0.6869075	13.1072027	6.6818034	24.0165632	5.9654631	0.5907405	3.2009892	Ashtabula
123	39007000200	2.2156236	10.2523659	3.525955	6.4241852	5.6550952	3.1292828	1.0507081	Ashtabula
124	39007000103	0.2816108	13.1993007	17.4355902	23.7028302	6.3481229	0.2816108	1.0701211	Ashtabula
125	39007000704	3.6851341	17.989228	7.827176	33.6410256	6.7357513	12.5595387	4.7881675	Ashtabula
126	39007000300	0.6419753	11.4576271	8.5714286	18.2184197	7.9365079	1.5802469	4.8888889	Ashtabula
127	39061023501	20.3011056	3.7167575	4.775023	3.6775106	2.7058146	4.3754411	2.8228652	Hamilton
128	39061023901	18.591789	2.1295741	3.7986705	6.5977568	4.0738729	3.8502446	5.8923633	Hamilton
129	39061024001	9.7192643	4.6548117	5.3565336	8.6631227	8.4188034	2.768635	12.8170378	Hamilton
130	39061010100	4.1464832	12.7307448	10.700236	33.1518569	22.1821461	1.298198	54.2336756	Hamilton
131	39061020802	1.1075949	6.91556	5.007728	8.7201125	4.8339844	0	5.3094234	Hamilton
132	39061020901	3.1552726	10.0449775	9.5387841	13.4441939	11.2738854	4.1239967	10.1854415	Hamilton
133	39061010300	0	30.7939914	22.3703704	44.1642651	21.9081272	1.4334471	29.7610922	Hamilton
134	39061010400	4.6979866	6.5368568	11.302682	22.0517737	11.6161616	0	4.6021093	Hamilton
135	39061010500	1.8867925	13.7168142	5.4012346	26.3425254	16.838488	12.2641509	2.8301887	Hamilton
136	39061010600	1.7403916	10.443038	3.1578947	8.26686	10.3636364	3.8433648	0.217549	Hamilton
137	39061010700	8.6040915	8.1105991	10.373444	20.0361011	13.2625995	6.498195	14.6209386	Hamilton
138	39061010800	13.8785626	6.7567568	5.9793814	14.4670051	5.9090909	0	37.4225527	Hamilton
