OBJECTID	FIPS	AvComTm	PerNVHHs	PerColAtt	PerInd	FreRedLun	ValAdd	CoEdSites	UnempRT	MedRnt	MedHmVal	PerLIHTC	mRFEI	PerFamPov	PerPT	IntAcc	JobRatio	Shape_Length	Shape_Area	OI_v1_new
625	39093050300	0.233235453	0.675316443	0.036636475	-0.898374788	1.19868223	0.759329865	-0.361687681	0.181534837	-0.945777762	0.470984262	-0.073930404	0.076142412	0.504950354	-0.449288347	1.467197857	-0.149349004	36221.88363	37538766.29	0.170350138
626	39093050400	0.211270399	0.590181787	-0.049771644	-0.60893132	1.292229801	-0.725865418	-0.096832786	0.349396757	0.063489707	0.08744528	-0.073930404	-1.232350295	0.860169083	-0.32536728	0.544394415	0.01813104	10021.55072	5610402.202	0.056478695
627	39003013300	1.613816442	-1.04652155	-0.687835115	-0.583064261	1.194570249	-2.409086739	-0.758970022	-1.214833902	-0.769632025	-0.867700061	-0.073930404	-1.232350295	-0.893337043	-0.493829803	-0.83981075	6.42E-05	5982.218585	1535740.631	-0.566403192
628	39003013400	1.212250432	-1.565136458	-0.999650853	-1.018344423	-0.893853577	-2.409086739	-0.758970022	-1.117087198	-1.293308542	-1.276413417	-0.073930404	0.377095737	-1.390899311	-0.374174696	-1.301212471	-0.163188228	8655.72429	3757170.308	-0.815369386
629	39003013600	1.150815572	-0.482269853	-1.150942914	-0.748078257	-1.917017286	-1.914021646	-1.023824916	-1.022414972	-0.303083855	-1.289741026	-0.073930404	1.068416051	-1.953930297	0.244577095	-0.83981075	-0.121316691	7591.249752	2704295.661	-0.648535884
630	39003013700	1.066842788	-0.192698734	-1.272592716	-0.558981137	-1.917017286	-2.409086739	-0.758970022	-0.390042494	-0.736307155	-1.157945777	-0.073930404	0.534114862	-1.089190698	-0.21046357	-0.378409028	-0.196201644	6770.954824	2415129.983	-0.608804985
631	39003013800	1.091997005	-1.00791338	-1.085813943	-0.91755209	-1.917017286	-2.112047683	-0.758970022	-1.836170863	-0.622050461	-1.22606467	0.235545464	-0.525764233	-1.704460019	-0.493829803	-0.83981075	-0.18625927	15763.33985	11767823.72	-0.869136375
632	39003013900	0.103156385	0.423395262	-0.631691724	0.943092206	1.613478328	0.066238734	-0.494115128	0.550646227	-0.5792042	-0.408637959	0.085463653	1.26687078	0.007320932	-0.493829803	-0.378409028	-0.057625156	55383.60972	121841110.6	0.126009344
633	39003014000	0.229469921	0.566698393	-0.058756396	0.7343718	1.209733179	-0.923891456	-0.758970022	0.030224981	0.039686229	-0.350884985	-0.073930404	1.26687078	0.948745975	-0.493829803	1.005796136	-0.050092119	40063.29901	70810476.19	0.207577638
634	39003010200	0.503599461	0.604175134	-0.136505399	0.92971269	1.036875772	-0.824878438	-0.758970022	0.777518559	-0.479229592	-0.176145217	-0.073930404	2.693127831	0.72151815	-0.472660353	-0.378409028	-0.147403577	81127.85249	318017719	0.238649723
635	39003010100	1.309782372	0.480879127	0.680010542	1.287391678	1.418776021	0.858342885	-0.891397469	0.666026789	-0.650614634	0.026730615	-0.073930404	-0.250980764	0.797513233	-0.493829803	0.544394415	0.023802667	25316.91836	36085940.6	0.358306079
